ID1,ID2,都市計画,現代/歴史,地域,都市計画名,建築家,特徴1
"1","211","2","1","1","パリ改造計画","ジョルジュ・オースマン","大通りに面した建築物は統一感を持ち、高さや間隔がコントロールされた。"
"2","211","2","1","1","ヴォワザン計画","ル・コルビュジエ","歴史的建築物を一部保存しつつ、古い街区を取り壊し、超高層ビルへ建て替えた。"
"3","212","2","1","2","東京計画1960","丹下健三研究室","東京湾の人工地盤に都市機能を拡大し、線形発展を可能にする都市構造を提案。"
"4","211","2","1","1","ミレトス","ヒッポダモス","格子状の直交道路網を敷設し、行政・宗教・商業施設を中央部に配置した都市。"
"5","211","2","1","1","カンピドリオ広場","ミケランジェロ","台形状の広場と三つのパラッツォを配置し、軸線を強調したバロック的都市計画。"
"6","222","2","2","2","平安京","不明","朱雀大路を中心に、条（東西道路）と坊（南北道路）の格子状街路をもつ都市。"
"7","222","2","2","2","江戸","不明","江戸城を中心に、堀の開削や海岸線の埋め立て、大名屋敷や町人地を配置。"
"8","212","2","1","2","官庁集中計画","エンデ・ベックマン","築地・日比谷・霞が関一帯に中央停車場を設け、大街路や広場を含む計画。"
"9","211","2","1","1","キャンベラ","不明","三つの都市機能を三角形の頂点に配置し、都心部を構成する都市計画。"
"10","211","2","1","1","チャンディガール","ル・コルビュジエ","格子状の区域分けと7段階の道路網からなる計画。"
"11","211","2","1","1","ブラジリア","オスカー・ニーマイヤー","ジェット機形の平面形状をもち、中央部を政治中枢、翼部分を住居地域に。"
"12","211","2","1","1","ワシントンD.C.","ピエール・シャルル・ランファン","ポトマック川から国会議事堂への軸を強調し、格子状と放射状街路を組み合わせた都市。"
"13","211","2","1","1","パリのグラン・プロジェ","フランソワ・ミッテラン","フランス革命200年を記念し、ルーブル美術館の改修やオルセー駅舎の美術館転用。"
"14","112","1","1","2","ジョンソン・ワックス・ビル","フランク・ロイド・ライト","1936年に建設された2層吹抜けの執務スペース、樹木状の柱と天窓で自然光を取り入れる。"
"15","112","1","1","2","フォード財団本部ビル","ケヴィン・ローチ","1967年に建設されたアトリウムを囲むL字型の執務スペース、内部に豊かな植栽がある。"
"16","112","1","1","2","新宿NSビル","日建設計","1982年に建設、高層階のオフィスゾーンに中央アトリウムを配置し、開放的な空間を形成。"
"17","112","1","1","2","香港上海銀行本店","ノーマン・フォスター","1985年に建設、吊橋工法を応用し、無柱空間を確保する構造デザイン。"
"18","112","1","1","2","ロイズ・オブ・ロンドン","リチャード・ロジャース","1986年に建設、機械設備や階段などを建築外周に配置したハイテク建築の代表例。"
"19","112","1","1","2","ROKI Global Innovation Center","小堀哲夫建築設計事務所","2013年に建設、階段状に積層する執務スペースと自然光を活用したデザイン。"
"20","112","1","1","2","土浦亀城邸","土浦亀城","1935年に建設、「白い箱」型の外観、吹抜けを中心としたモダニズム住宅。"
"21","112","1","1","2","前川國男邸","前川國男","1942年に建設、吹抜けの居間を中心に、書斎や寝室、ロフトを配置した建築。"
"22","112","1","1","2","立体最小限住宅","池辺陽","1951年に建設、15坪住宅のコンセプトで狭小住宅の解決を試みた。"
"23","112","1","1","2","増沢洵邸","増沢洵","1952年に建設、9坪のコンパクトな住宅、吹抜けと南面大開口が特徴。"
"24","112","1","1","2","斎藤助教授の家","清家清","1952年に建設、移動畳と連続する空間構成で開放性を追求。"
"25","112","1","1","2","ヴィッラ・クゥクゥ","吉阪隆正","1957年に建設、閉鎖的なワンルーム形式のコンクリート建築。"
"26","112","1","1","2","スカイハウス","菊竹清訓","1958年に建設、柱で持ち上げた主室と可変的な設備配置が特徴。"
"27","112","1","1","2","正面のない家","坂倉建築研究所","1960年に建設、壁で囲まれた内部に複数の庭を配置したコートハウス。"
"28","112","1","1","2","から傘の家","篠原一男","1961年に建設、三分割された空間と方形屋根が特徴。"
"29","112","1","1","2","軽井沢の家","吉村順三","1962年に建設、片流れ屋根と混構造（RC+木造）によるデザイン。"
"30","112","1","1","2","塔の家","東孝光","1966年に建設、約20㎡の狭小住宅ながら機能別に積層された構造。"
"31","112","1","1","2","夫婦屋根の家","山下和正","1968年に建設、1階が生活空間、2階が仕事場のシンプルなゾーニング。"
"32","112","1","1","2","まつかわぼっくす","宮脇檀","1971年に建設、中庭を囲むように分棟が配置されたコートハウス。"
"33","112","1","1","2","原広司邸","原広司","1974年に建設、鉄骨造と木造を組み合わせたスキップフロア設計。"
"34","112","1","1","2","住吉の長屋","安藤忠雄","1976年に建設、中央に中庭を配置したコンクリート打放し住宅。"
"35","112","1","1","2","中野本町の家","伊東豊雄","1977年に建設、大きな吹抜け空間をもつ鉄骨造住宅。"
"36","112","1","1","2","高崎正治邸","高崎正治","1977年に建設、吹抜けと大開口を活かしたデザイン。"
　　
